Unnamed: 0,Контрагент,Месяц,Год,Квт*Ч,Тариф,Сумма в руб без учета НДС
0,1,1,2019,2889358,"0,564549477","1 631 185,55"
1,1,2,2019,2546827,"0,655968042","1 670 637,12"
2,1,3,2019,2636205,"0,585574121","1 543 693,43"
3,1,4,2019,2208907,"0,588895276","1 300 814,90"
4,1,5,2019,"2370226,5","0,619926225","1 469 365,57"
5,1,6,2019,"2796038,5","0,585388076","1 636 767,60"
6,1,7,2019,"2646410,5","0,552203594","1 461 357,39"
7,1,8,2019,"2711532,5","0,844364448","2 289 521,64"
8,1,9,2019,"2776982,5","0,597242004","1 658 530,59"
9,1,10,2019,2929831,"0,602302065","1 764 643,26"
10,1,11,2019,2954108,"0,601174613","1 775 934,73"
11,1,12,2019,"3035602,5","0,588292104","1 785 820,98"
12,1,1,2020,"2653483,5","0,619124819","1 642 837,49"
13,1,2,2020,"2479498,5","0,669670713","1 660 447,53"
14,1,3,2020,"2500530,5","0,595210043","1 488 340,87"
15,1,4,2020,"2405409,5","0,604402069","1 453 834,48"
16,1,5,2020,2357193,"0,668567413","1 575 942,43"
17,1,6,2020,2418411,"0,737809211","1 784 325,91"
18,1,7,2020,2649461,"0,645718526","1 710 806,05"
19,1,8,2020,"2679831,5","0,576450667","1 544 790,66"
20,1,9,2020,"2600508,5","0,760148128","1 976 771,67"
21,1,10,2020,"2909191,5","0,679615798","1 977 132,50"
22,1,11,2020,2747474,"0,613011085","1 684 232,02"
23,1,12,2020,3036224,"0,674748553","2 048 687,75"
24,2,1,2019,"20764946,5","2,34716547","48 738 765,41"
25,2,2,2019,18732688,"2,348914111","44 001 475,18"
26,2,3,2019,20681654,"2,338046671","48 354 672,28"
27,2,4,2019,19395566,"2,329790277","45 187 601,09"
28,2,5,2019,"19981708,5","2,326064604","46 478 744,88"
29,2,6,2019,19966832,"2,32785893","46 479 968,18"
30,2,7,2019,"19211855,5","2,392317539","45 960 858,87"
31,2,8,2019,"19858025,5","2,390542751","47 471 458,91"
32,2,9,2019,"20195933,5","2,394632536","48 361 839,45"
33,2,10,2019,"22247057,5","2,397654118","53 340 749,04"
34,2,11,2019,21973256,"2,376460961","52 218 585,07"
35,2,12,2019,21320739,"2,404160558","51 258 479,78"
36,2,1,2020,"20999525,5","2,39340964","50 260 466,77"
37,2,2,2020,"20710218,5","2,39174516","49 533 564,85"
38,2,3,2020,21365556,"2,386853664","50 996 455,62"
39,2,4,2020,21451512,"2,386877557","51 202 132,56"
40,2,5,2020,21538407,"2,380769121","51 277 974,31"
41,2,6,2020,19667246,"2,37283239","46 667 078,32"
42,2,7,2020,19826144,"2,397762289","47 538 380,41"
43,2,8,2020,19826437,"2,397348871","47 530 886,35"
44,2,9,2020,"17810101,5","2,397889679","42 706 658,57"
45,2,10,2020,19332619,"2,402558287","46 447 743,99"
46,2,11,2020,"19202291,5","2,398061151","46 048 269,26"
47,2,12,2020,"22353711,5","2,393212277","53 497 176,80"
48,3,1,2019,"504689,5","2,694068573","1 359 668,12"
49,3,2,2019,494191,"2,734956985","1 351 591,13"
50,3,3,2019,499021,"2,583285589","1 289 113,76"
51,3,4,2019,447562,"2,606991119","1 166 790,16"
52,3,5,2019,603018,"2,927536941","1 765 357,47"
53,3,6,2019,"855990,5","3,187314348","2 728 310,80"
54,3,7,2019,725973,"3,417662284","2 481 130,54"
55,3,8,2019,647823,"3,41041298","2 209 343,97"
56,3,9,2019,"550495,5","3,299196294","1 816 192,71"
57,3,10,2019,"598917,5","2,993489342","1 792 853,15"
58,3,11,2019,"776859,5","2,964774024","2 303 212,87"
59,3,12,2019,587333,"2,923489708","1 717 061,98"
60,3,1,2020,516876,"2,92458373","1 511 647,14"
61,3,2,2020,477358,"2,887773889","1 378 501,97"
62,3,3,2020,"610260,5","2,840503202","1 733 446,90"
63,3,4,2020,633274,"2,61670161","1 657 089,10"
64,3,5,2020,"734500,5","2,786586328","2 046 749,05"
65,3,6,2020,846573,"2,92367012","2 475 100,18"
66,3,7,2020,748888,"3,363590642","2 518 952,67"
67,3,8,2020,803384,"3,307126563","2 656 892,57"
68,3,9,2020,654356,"3,232477311","2 115 190,92"
69,3,10,2020,"1116567,5","3,065517436","3 422 857,14"
70,3,11,2020,1392027,"3,181819314","4 429 178,39"
71,3,12,2020,"1556011,5","3,282599272","5 107 762,22"
72,4,1,2019,"23149728,5","2,572242038","59 546 704,82"
73,4,2,2019,"20792606,5","2,535694267","52 723 693,11"
74,4,3,2019,"22824564,5","2,494828026","56 943 363,18"
75,4,4,2019,21162541,"2,463057325","52 124 551,62"
76,4,5,2019,"21753303,5","2,450853503","53 314 160,09"
77,4,6,2019,"21909238,5","2,433656051","53 319 550,85"
78,4,7,2019,21135474,"2,704751592","57 166 206,96"
79,4,8,2019,21911455,"2,747923567","60 211 003,58"
80,4,9,2019,22421075,"2,674853503","59 973 091,01"
81,4,10,2019,24577645,"2,72433121","66 957 645,34"
82,4,11,2019,"24149320,5","2,637579618","63 695 755,54"
83,4,12,2019,"23767889,5","2,749770701","65 356 246,17"
84,4,1,2020,"23135077,5","2,800624204","64 792 658,01"
85,4,2,2020,"22711465,5","2,710420382","61 557 619,00"
86,4,3,2020,23255043,"2,724484076","63 357 994,35"
87,4,4,2020,23222869,"2,582675159","59 977 126,89"
88,4,5,2020,"23160369,5","2,508496815","58 097 713,13"
89,4,6,2020,21238436,"2,617159236","55 584 368,93"
90,4,7,2020,"21725925,5","2,847923567","61 873 775,24"
91,4,8,2020,"21702109,5","2,760292994","59 904 180,80"
92,4,9,2020,"19755510,5","3,041936306","60 095 004,63"
93,4,10,2020,21124489,"2,91188535","61 512 090,05"
94,4,11,2020,"20556825,5","3,108535032","63 901 612,21"
95,4,12,2020,"23833187,5","2,956050955","70 452 116,68"
